Trade date,Instrument code,Market code,Quantity,Price,Currency,Amount,Transaction fee,Transaction method
2024-03-11 13:30:06.838000 (UTC),NVDA,NASDAQ,0.03196759,864,usd,27.62,0,BUY
2024-05-21 16:12:35.776000 (UTC),NVDA,NASDAQ,1,950,usd,950,5,SELL
2023-11-19 23:30:14.525413 (UTC),CEN,NZX,1.31406045,7.61,nzd,10,0,BUY
2024-06-10 02:08:05.030822 (UTC),CEN,NZX,1.09051254,9.17,nzd,10,0,BUY
2021-03-23 18:59:30.363000 (UTC),IDV,CBOE,1,31.5,usd,31.5,0.15829,BUY
2023-10-01 23:26:13.778000 (UTC),BSE,ASX,109.1764706,0.17,aud,18.56,0,BUY
2024-04-22 01:52:07.853000 (UTC),ILC,ASX,1.55498808,29.37,aud,45.67,0,BUY
2024-02-01 14:30:12.098000 (UTC),INTC,NASDAQ,0.31264654,43.15,usd,13.49,0.2093,BUY
2024-06-10 13:30:04.375000 (UTC),META,NASDAQ,0.03685254,493.86,usd,18.2,0,BUY
2024-04-29 13:30:05.394000 (UTC),SMH,NASDAQ,0.1360125,217.48,usd,29.58,0,BUY
2024-02-05 14:30:13.061000 (UTC),NVDA,NASDAQ,0.03976556,682.5,usd,27.14,0,BUY
2024-03-05 14:30:01.507000 (UTC),ASML,NASDAQ,0.04593264,989.71,usd,45.46,0,BUY
2023-09-03 22:00:12.000192 (UTC),CEN,NZX,11.9760479,8.35,nzd,100,0,BUY
2024-01-08 14:30:12.234000 (UTC),KO,NYSE,0.31173614,59.73,usd,18.62,0,BUY
2024-05-13 02:36:25.830000 (UTC),ILC,ASX,1.52061683,29.83,aud,45.36,0,BUY
2024-04-08 01:26:35.619158 (UTC),CEN,NZX,1.18829095,8.415,nzd,10,0,BUY
2023-10-24 13:30:16.477000 (UTC),META,NASDAQ,0.0441,316.78,usd,13.97,0,BUY
2024-02-05 14:30:25.050000 (UTC),AAPL,NASDAQ,0.09618758,188.07,usd,18.09,0,BUY
2024-02-11 23:53:00.518000 (UTC),ILC,ASX,1.5831643,29.58,aud,46.83,0,BUY
2024-03-04 00:04:09.691000 (UTC),RIO,ASX,0.07489519,124.04,aud,9.29,0,BUY
2024-02-18 23:37:31.899000 (UTC),ILC,ASX,1.56556825,29.74,aud,46.56,0,BUY
2024-02-11 23:51:03.710789 (UTC),STU,NZX,8.54700855,1.17,nzd,10,0,BUY
2024-04-29 03:22:57.748446 (UTC),ANZ,NZX,0.80749354,30.96,nzd,25,0,BUY
